,Default = Monthly,,DO NOT TOUCH ROW 1-3,,,,,,,,,,,,,,,,,,,,,,Income Analysis,,,,,,,,,,,DSCR Calculations,,,,
Property Location (w/ Link),CoC,CR,DSCR,Property Value / Negotiated Value,Comments,PSF,Percent Down,Money Down,Loan Amount,Loan Length,Rate,Compound Rate Constant,Mortgage Payments,Taxes Monthly,Tax Property Ratio,Insurance,HOA,Recurring Payments,Property Closing Costs (15k high est),Est. Impr. Cost,Total Investment,Annual Misc. Cost,Ownership Cost,Annual Operating Expenses,Bedrooms/Unit,Rent per Bd/Unit (7% CoC),Rent per Bd/Unit (10% CR),Rent per Bd/Unit (1.2 DSCR),Rent per Bd/Unit (12% CR),Realistic Rent Avg Per Bedroom/Unit,Total Realistic Rent,Net Annual Operating Income,Annual Cash Flow,Annual Cash-On-Cash,Cap Rate,NOI 80%,Annual Mortgage Payments,DSCR (80%),Value for DSCR=1.5,Value for DSCR=1.2
264 Somerset Street,-10.80%,3.91%,0.52,"$312,700.00",Foreclosed Home - limited viewing,210.00,20%,"$62,540.00","$250,160.00",30,6.5%,0.858478042746,"$1,581.18","$1,961.25",7.53%,,,"$3,542.43",,,"$62,540.00","$3,127.00","$3,803.01","$26,662.00",4,"$1,041.96","$1,206.92","$1,113.52","$1,337.21",$900.00,"$3,600.00","$12,218.00","-$6,756.18",-10.80%,3.91%,"$9,774.40","$18,974.18",0.52,"$148,602.64","$170,118.30"
303 Holly Drive,-38.04%,1.65%,0.19,"$416,000.00",Waterfront Drive but maybe HOA,,10%,"$41,600.00","$374,400.00",30,6.5%,0.858478042746,"$2,366.46","$1,961.25",5.66%,,,"$4,327.71","$15,000.00",,"$56,600.00","$4,160.00","$4,674.38","$27,695.00",4,"$1,251.14","$1,443.65","$1,412.20","$1,616.98",$800.00,"$3,200.00","$6,865.00","-$21,532.55",-38.04%,1.65%,"$5,492.00","$28,397.55",0.19,"$89,956.53","$102,045.66"
68 Welton St,27.66%,10.30%,1.21,"$589,000.00",Back Up offer - many times contingent review properly,208.00,10%,"$58,900.00","$530,100.00",30,6.5%,0.858478042746,"$3,350.59","$1,961.25",4.00%,,,"$5,311.84","$15,000.00",,"$73,900.00","$5,890.00","$5,802.68","$29,425.00",3,"$2,077.92","$2,453.47","$2,394.11","$2,780.69","$2,780.00","$8,340.00","$60,647.00","$20,439.89",27.66%,10.30%,"$48,517.60","$40,207.11",1.21,"$486,092.76","$592,890.95"
163 Livingston Avenue,8.30%,8.78%,0.98,"$1,350,000.00",Base,,15%,"$202,500.00","$1,147,500.00",30,7.5%,0.895342345075,"$8,023.49","$1,961.25",1.74%,,,"$9,984.74","$15,000.00","$50,000.00","$267,500.00","$13,500.00","$11,109.74","$37,035.00",16,$791.88,$896.02,$900.85,"$1,036.64",$900.00,"$14,400.00","$118,485.00","$22,203.16",8.30%,8.78%,"$94,788.00","$96,281.84",0.98,"$956,879.65","$1,145,474.56"
184 Green St,12.20%,10.66%,1.12,"$420,000.00",Base house,270.00,5%,"$21,000.00","$399,000.00",30,7%,0.878294236779,"$2,654.56",$697.08,1.99%,,,"$3,351.64","$15,000.00","$70,000.00","$106,000.00","$4,200.00","$3,701.64","$12,565.00",6,$720.00,$757.85,$799.12,$874.51,$885.00,"$5,310.00","$44,783.00","$12,928.32",12.20%,10.66%,"$35,826.40","$31,854.68",1.12,"$320,677.34","$395,596.67"
46 Mitchell Ave,0.46%,7.16%,0.81,"$269,900.00",,,20%,"$53,980.00","$215,920.00",30,8%,0.910008110942,"$1,584.34",$357.25,1.59%,,,"$1,941.59","$15,000.00",,"$68,980.00","$2,699.00","$2,166.51","$6,986.00",3,$856.30,$943.78,$939.63,"$1,093.72",$812.14,"$2,436.41","$19,327.24",$315.11,0.46%,7.16%,"$15,461.79","$19,012.13",0.81,"$171,232.97","$200,546.21"
177 East Hazelwood Avenue,0.46%,7.15%,0.81,"$379,000.00",,,20%,"$75,800.00","$303,200.00",30,8%,0.910008110942,"$2,224.77",$523.25,1.66%,,,"$2,748.02","$15,000.00",,"$90,800.00","$3,790.00","$3,063.86","$10,069.00",5,$718.70,$799.48,$795.99,$925.82,$688.57,"$3,442.86","$27,113.86",$416.57,0.46%,7.15%,"$21,691.09","$26,697.29",0.81,"$240,292.22","$281,415.28"
407 Alden Road,0.17%,7.08%,0.80,"$400,000.00",,,20%,"$80,000.00","$320,000.00",30,8%,0.910008110942,"$2,348.05",$783.92,2.35%,,,"$3,131.96","$15,000.00",,"$95,000.00","$4,000.00","$3,465.30","$13,407.00",4,"$1,004.87","$1,112.65","$1,108.03","$1,279.31",$966.32,"$3,865.30","$28,338.20",$161.64,0.17%,7.08%,"$22,670.56","$28,176.56",0.80,"$251,919.97","$294,899.96"
197 Canterbury Ct,0.18%,7.09%,0.80,"$414,900.00",,231.00,20%,"$82,980.00","$331,920.00",30,8%,0.910008110942,"$2,435.51",$596.33,1.72%,,$209.00,"$3,240.84","$15,000.00",,"$97,980.00","$4,149.00","$3,586.59","$13,813.00",4,"$1,039.54","$1,152.15","$1,147.36","$1,325.02","$1,000.37","$4,001.49","$29,403.14",$177.01,0.18%,7.09%,"$23,522.51","$29,226.14",0.80,"$261,360.66","$305,955.82"
232 Hamilton St,0.55%,7.17%,0.81,"$689,900.00",,358.00,20%,"$137,980.00","$551,920.00",30,8%,0.910008110942,"$4,049.79",$886.67,1.54%,,,"$4,936.46","$15,000.00",,"$152,980.00","$6,899.00","$5,511.38","$17,539.00",5,"$1,280.75","$1,442.15","$1,435.79","$1,672.12","$1,240.26","$6,201.28","$49,434.79",$837.27,0.55%,7.17%,"$39,547.83","$48,597.52",0.81,"$437,887.06","$512,863.83"
